"Id";"Designator";"Behuizing";"Hoeveelheid";"Orientatie";"Leverancier en ref";
1;"J7";"MountingHole_2.5mm_Pad";1;"gat2";;;
2;"J6";"MountingHole_2.5mm_Pad";1;"gat1";;;
3;"J8";"3.5mm_stereo_TRS_jack_A-853_Tayda_";1;"trs_A-853 geluid uit";;;
4;"C1,C3";"CP_Radial_D8.0mm_P2.50mm";2;"CP_220uF";;;
5;"D1";"LED_D3.0mm";1;"Liggie";;;
6;"J1";"Pin_Header_Angled_1x02_Pitch2.54mm";1;"Arduino_sn";;;
7;"J2";"Pin_Header_Angled_1x02_Pitch2.54mm";1;"audio_debug";;;
8;"J4";"Pin_Header_Angled_1x04_Pitch2.54mm";1;"I2C";;;
9;"J5";"Sovjet_simpits_logo01";1;"LOGO";;;
10;"R1";"RC03";1;"R10k";;;
11;"R2";"RC03";1;"R1k";;;
12;"R3";"RC03";1;"220";;;
13;"RV1";"trimmer_ecp_ca9-v10";1;"POT_50k";;;
14;"U1";"dil_16-300_socket";1;"PCF8574";;;
15;"U2";"dil_8-300_socket";1;"LM358";;;
16;"U3";"dil_16-300_socket";1;"SN76489";;;
