"Id";"Designator";"Behuizing";"Hoeveelheid";"Orientatie";"Leverancier en ref";
1;"U1";"dil_16-300_socket";1;"PCF8574";;;
2;"RV1";"trimmer_alps-rk09k1130ah1";1;"POT_50k";;;
3;"C2";"C_1210";1;"CP_10uF";;;
4;"C3";"C_1210";1;"CP_220uF";;;
5;"J1";"Socket_Strip_Angled_1x03_Pitch2.54mm";1;"Arduino_sn";;;
6;"P1";"Socket_Strip_Angled_1x03_Pitch2.54mm";1;"Audio_uit";;;
7;"U2";"dil_8-300_socket";1;"LM358";;;
8;"U3";"dil_16-300_socket";1;"SN76489";;;
9;"P3";"Socket_Strip_Angled_1x03_Pitch2.54mm";1;"I2C";;;
10;"R2";"R_1206";1;"R1k";;;
